NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
579,409,0000-9999,,,Not Available,,N/A,
579,410,0000-9999,,,Not Available,,N/A,
579,411,0000-9999,,,Not Available,,N/A,
579,412,0000-9999,,,Not Available,,N/A,
579,413,0000-9999,,,Not Available,,N/A,
579,414,0000-9999,,,Not Available,,N/A,
579,415,0000-9999,,,Not Available,,N/A,
579,416,0000-9999,,,Not Available,,N/A,
579,417,0000-9999,,,Not Available,,N/A,
579,418,0000-9999,,,Not Available,,N/A,
579,419,0000-9999,,,Not Available,,N/A,
579,420,0000-9999,,,Available,,N/A,
579,421,0000-9999,,,Available,,N/A,
579,422,0000-9999,,,Not Available,,N/A,
579,423,0000-9999,,,Not Available,,N/A,
579,424,0000-9999,,,Not Available,,N/A,
579,425,0000-9999,,,Not Available,,N/A,
579,426,0000-9999,,,Not Available,,N/A,
579,427,0000-9999,,,Not Available,,N/A,
579,428,0000-9999,,,Not Available,,N/A,
579,429,0000-9999,,,Available,,N/A,
579,430,0000-9999,,,Available,,N/A,
579,431,0000-9999,,,Available,,N/A,
579,432,0000-9999,,,Available,,N/A,
579,433,0000-9999,,,Available,,N/A,
579,434,0000-9999,,,Available,,N/A,
579,435,0000-9999,,,Available,,N/A,
579,436,0000-9999,,,Available,,N/A,
579,437,0000-9999,,,Available,,N/A,
579,438,0000-9999,,,Available,,N/A,
579,439,0000-9999,,,Available,,N/A,
579,440,0000-9999,,,Available,,N/A,
579,441,0000-9999,,,Available,,N/A,
579,442,0000-9999,,,Available,,N/A,
579,443,0000-9999,,,Available,,N/A,
579,444,0000-9999,,,Available,,N/A,
579,445,0000-9999,,,Available,,N/A,
579,446,0000-9999,,,Not Available,,N/A,
579,447,0000-9999,,,Not Available,,N/A,
579,448,0000-9999,,,Not Available,,N/A,
579,449,0000-9999,,,Not Available,,N/A,
579,450,0000-9999,,,Not Available,,N/A,
579,451,0000-9999,,,Not Available,,N/A,
579,452,0000-9999,,,Not Available,,N/A,
579,453,0000-9999,,,Not Available,,N/A,
579,454,0000-9999,,,Not Available,,N/A,
579,455,0000-9999,,,Not Available,,N/A,
579,456,0000-9999,,,Not Available,,N/A,
579,457,0000-9999,,,Not Available,,N/A,
579,458,0000-9999,,,Not Available,,N/A,
579,459,0000-9999,,,Not Available,,N/A,
579,460,0000-9999,,,Not Available,,N/A,
579,461,0000-9999,,,Not Available,,N/A,
579,462,0000-9999,,,Not Available,,N/A,
579,463,0000-9999,,,Not Available,,N/A,
579,464,0000-9999,,,Not Available,,N/A,
579,465,0000-9999,,,Not Available,,N/A,
579,466,0000-9999,,,Not Available,,N/A,
579,467,0000-9999,,,Not Available,,N/A,
579,468,0000-9999,,,Not Available,,N/A,
579,469,0000-9999,,,Available,,N/A,
579,470,0000-9999,,,Available,,N/A,
579,471,0000-9999,,,Available,,N/A,
579,472,0000-9999,,,Available,,N/A,
579,473,0000-9999,,,Available,,N/A,
579,474,0000-9999,,,Available,,N/A,
579,475,0000-9999,,,Available,,N/A,
579,476,0000-9999,,,Available,,N/A,
579,477,0000-9999,,,Available,,N/A,
579,478,0000-9999,,,Available,,N/A,
579,479,0000-9999,,,Available,,N/A,
579,480,0000-9999,,,Available,,N/A,
579,481,0000-9999,,,Not Available,,N/A,
579,482,0000-9999,,,Not Available,,N/A,
579,483,0000-9999,,,Not Available,,N/A,
579,484,0000-9999,,,Not Available,,N/A,
